行政區別,村里別,第7案,第8案,第9案,第10案,第11案,第12案,第13案,第14案,第15案,第16案
　板橋區,正泰里,0.785066294,0.749822821,0.777234637,0.714754098,0.65845755,0.636130685,0.489623865,0.348852459,0.347513089,0.594405594
　板橋區,玉光里,0.758545136,0.728971963,0.755468066,0.671288744,0.642140468,0.599159664,0.479634248,0.381316348,0.383419689,0.589389211
　板橋區,光仁里,0.764749263,0.748339483,0.766545455,0.686639118,0.649756776,0.582804792,0.478320716,0.375358166,0.373219373,0.524767802
　板橋區,埤墘里,0.742097341,0.732387228,0.747995992,0.669370229,0.635799523,0.593310713,0.546987952,0.375,0.387654321,0.566530194
　板橋區,莊敬里,0.778432528,0.760454002,0.796590241,0.672413793,0.635545557,0.60214447,0.440361786,0.376344086,0.387372014,0.607376562
　板橋區,永安里,0.74984326,0.735516373,0.744,0.707498569,0.665132336,0.606852497,0.523584906,0.372302158,0.385783718,0.542008844
　板橋區,雙玉里,0.761986301,0.742939481,0.766722878,0.689021092,0.653039268,0.605732829,0.493254182,0.351515152,0.370535714,0.570190641
　板橋區,廣新里,0.769985975,0.771929825,0.758692629,0.704055767,0.641887524,0.601029601,0.493556701,0.342192691,0.3596785,0.572331461
　板橋區,深丘里,0.779478915,0.765882671,0.786134904,0.679626357,0.64545921,0.605492813,0.434638015,0.350669413,0.380690738,0.591693635
　板橋區,香丘里,0.759369908,0.723346091,0.768685215,0.713989637,0.663512093,0.60251046,0.466527197,0.358823529,0.355774494,0.577664399
　板橋區,西安里,0.74609375,0.689601251,0.761682243,0.708737864,0.667671439,0.588999236,0.468772961,0.322555812,0.341349884,0.675287356
　板橋區,東丘里,0.752908329,0.740380158,0.753710575,0.696169089,0.671359437,0.605205117,0.51285461,0.342248413,0.348258706,0.590179415
　板橋區,民生里,0.72693383,0.700191571,0.741604478,0.693590869,0.65849387,0.605609115,0.527777778,0.362410072,0.365178571,0.530418251
　板橋區,長安里,0.786761229,0.736538462,0.768211921,0.671064604,0.664855072,0.615419917,0.481498401,0.363764045,0.362230553,0.528247224
　板橋區,東安里,0.781783681,0.76129666,0.777777778,0.718271827,0.69009009,0.609205776,0.481916817,0.313780261,0.323905109,0.588932806
　板橋區,福丘里,0.77241059,0.752924661,0.78832793,0.651474531,0.636281994,0.586780576,0.409233528,0.379341452,0.399145705,0.591884328
　板橋區,福祿里,0.782963827,0.776986951,0.697513013,0.719170404,0.672094329,0.631666667,0.423463687,0.323445522,0.332369942,0.653024911
　板橋區,民族里,0.794920038,0.765774379,0.781206171,0.683120317,0.660619469,0.615247436,0.454991087,0.358141633,0.373924853,0.589633856
　板橋區,國泰里,0.778795812,0.771560237,0.799086758,0.719033233,0.682095006,0.63164325,0.439634146,0.344978166,0.359698682,0.617550753
　板橋區,後埔里,0.765532145,0.752227171,0.761129207,0.719804135,0.609184172,0.58854719,0.43922796,0.354635935,0.361290323,0.593871866
